127.0.0.1 - - [22/May/2014:00:22:29 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [22/May/2014:00:22:36 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [22/May/2014:00:22:36 +0800] "GET /student/png_favico.png HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [22/May/2014:00:22:36 +0800] "GET /student/right.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [22/May/2014:00:22:36 +0800] "GET /student/foot.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [22/May/2014:00:22:36 +0800] "GET /student/head.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [22/May/2014:00:22:36 +0800] "GET /student/css/random_background.css HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [22/May/2014:00:22:36 +0800] "GET /student/left.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [22/May/2014:00:22:36 +0800] "GET /student/images/cduedu-1161-427.jpg HTTP/1.1" 200 236024
0:0:0:0:0:0:0:1 - - [22/May/2014:00:23:46 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [22/May/2014:00:23:46 +0800] "GET /student/struts/xhtml/validation.js HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [22/May/2014:00:23:46 +0800] "GET /student/struts/utils.js HTTP/1.1" 200 4776
