127.0.0.1 - - [03/Jul/2014:22:32:49 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:02 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:02 +0800] "GET /student/png_favico.png HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:02 +0800] "GET /student/head.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:02 +0800] "GET /student/right.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:02 +0800] "GET /student/foot.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:02 +0800] "GET /student/css/random_background.css HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:02 +0800] "GET /student/left.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:02 +0800] "GET /student/images/cduedu-1161-427.jpg HTTP/1.1" 200 236024
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:10 +0800] "GET /student/addXsView.action HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:10 +0800] "GET /student/struts/xhtml/validation.js HTTP/1.1" 200 4656
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:33:10 +0800] "GET /student/struts/utils.js HTTP/1.1" 200 4776
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:36 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:36 +0800] "GET /student/head.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:36 +0800] "GET /student/foot.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:36 +0800] "GET /student/left.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:36 +0800] "GET /student/right.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:38 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:38 +0800] "GET /student/head.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:38 +0800] "GET /student/right.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:38 +0800] "GET /student/foot.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:38 +0800] "GET /student/left.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/head.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/left.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/right.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/foot.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/head.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/right.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/left.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/foot.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/head.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/foot.jsp HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/left.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/right.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/css/random_background.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:39 +0800] "GET /student/images/cduedu-1161-427.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /student/main.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [03/Jul/2014:22:34:40 +0800] "GET /favicon.ico HTTP/1.1" 404 988
